top	id	flows	u	au	ch	RM	RMt	RMm	RMp	RMh	DM	DMt	DMm	DMp	DMh	PDM	PDMt	PDMm	PDMp	PDMh	CLLF	CLLFt	CLLFm	CLLFp	CLLFh	EDF	EDFt	EDFm	EDFp	EDFh	LST	LSTt	LSTm	LSTp	LSTh	EPD	EPDt	EPDm	EPDp	EPDh	EDZL	EDZLt	EDZLm	EDZLp	EDZLh	LST_MCF	LST_MCFt	LST_MCFm	LST_MCFp	LST_MCFh	Alice	Alicet	Alicem	Alicep	Aliceh	Tasa	Tasat	Tasam	Tasap	Tasah	Random	Randomt	Randomm	Randomp	Randomh
65	2892	21	3.064	2.687	16	1	13	6	30508	10000	1	13	6	30508	10000	1	15	6	29869	10000	1	807	6	29977	10000	1	13	6	29142	10000	1	14	7	32191	10000	1	14	6	32152	10000	1	14	6	30013	10000	1	32	7	32591	10000	0	0	0	0	0	1	14	4	30253	10000	0	0	0	0	0
65	2893	21	7.180	6.441	1	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0
65	2893	21	7.180	6.441	2	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0
65	2893	21	7.180	6.441	4	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0
65	2893	21	7.180	6.441	8	1	34	5	86366	10000	1	34	5	86366	10000	0	0	0	0	0	1	1989	5	83807	10000	0	0	0	0	0	1	33	5	83847	10000	1	37	6	104748	10000	1	34	6	90890	10000	1	87	6	87933	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
65	2893	21	7.180	6.441	16	1	31	5	80838	10000	1	31	5	80838	10000	1	34	5	80061	10000	1	1837	6	78181	10000	0	0	0	0	0	1	31	6	83404	10000	1	31	5	87955	10000	1	31	5	82262	10000	1	79	6	83528	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
65	2894	21	15.853	13.832	1	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0
65	2894	21	15.853	13.832	2	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0
65	2894	21	15.853	13.832	4	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0
65	2894	21	15.853	13.832	8	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0
