1P,2P
0.978090,0.987594
0.938599,0.976309
0.959157,0.975497
0.961362,0.981869
0.980311,0.991921
0.957658,0.984617
0.976400,0.985254
0.981963,0.990219
0.959139,0.983387
0.979872,0.994149
0.926139,0.949936
0.950393,0.969484
0.934214,0.973821
0.965182,0.987019
0.952787,0.981406
0.966002,0.980590
0.976726,0.986644
0.984827,0.992309
0.918074,0.955075
0.904612,0.963182
0.957491,0.989553
0.930418,0.956825
0.920737,0.957577
0.960494,0.980215
0.955958,0.974658
0.956834,0.973973
0.940860,0.966171
0.979924,0.994807
0.941462,0.977059
0.991921,0.995319
0.990652,0.995273
0.936108,0.963498
0.963813,0.980901
0.905451,0.944738
0.969074,0.981085
0.976459,0.993077
0.925757,0.967390
0.942709,0.966024
0.963133,0.975772
0.914934,0.950897
0.955993,0.975215
0.966160,0.981819
0.922539,0.957685
0.919116,0.958392
0.965437,0.981734
0.942326,0.969532
0.943565,0.968001
0.968440,0.981452
0.983239,0.990965
0.946090,0.968787
0.933539,0.962872
0.932719,0.962421
0.937228,0.960677
0.964928,0.976237
0.951602,0.972266
0.932728,0.960314
0.959823,0.972981
0.932663,0.961317
0.962998,0.983877
0.946212,0.969130
0.909572,0.943811
0.988083,0.995122
0.980518,0.991508
0.910206,0.949550
0.943308,0.968955
0.941441,0.967686
0.963840,0.978275
0.991635,0.997674
0.965203,0.983373
0.944323,0.968600
0.979431,0.988131
0.965729,0.978226
0.968136,0.981918
0.948207,0.970485
0.968550,0.986003
0.977209,0.994487
0.945140,0.959467
0.987220,0.996155
0.961040,0.977959
0.970332,0.980589
0.988988,0.995374
0.932979,0.969582
0.982963,0.990612
0.990682,0.995957
0.940885,0.967266
0.969289,0.982937
0.981049,0.989893
0.980046,0.990526
0.926442,0.969091
0.980329,0.987595
0.942273,0.953685
0.966021,0.983478
0.926610,0.943041
0.978931,0.991213
0.953684,0.974225
0.970772,0.982854
0.968494,0.982328
0.959836,0.977679
0.952858,0.973667
0.931110,0.963242
0.916187,0.948284
0.945931,0.969424
0.960208,0.978337
0.982091,0.989274
0.953850,0.972613
0.951668,0.968323
0.957383,0.979389
0.939088,0.965732
0.938317,0.964916
0.953866,0.973313
0.937821,0.964885
0.932185,0.961090
0.934322,0.954281
0.940793,0.966054
0.936572,0.965243
0.945415,0.971626
0.952049,0.975972
0.971796,0.985472
0.917273,0.949170
0.932285,0.963686
0.920059,0.953665
0.967162,0.982734
0.920791,0.959204
0.932260,0.962525
0.962571,0.979052
0.930184,0.959956
0.948742,0.982995
0.954393,0.972855
0.952144,0.973806
0.923909,0.956269
0.918036,0.947041
0.923727,0.955726
0.957548,0.978509
0.922187,0.951946
0.955714,0.980360
0.951583,0.969077
0.973548,0.985624
0.903082,0.945323
0.956546,0.982148
0.982433,0.990570
0.926670,0.957573
0.931587,0.960601
0.927048,0.956124
0.924206,0.955611
0.980398,0.989536
0.950643,0.973362
0.946152,0.975298
0.934198,0.960209
0.926324,0.955978
0.956567,0.977451
0.948164,0.959751
0.966203,0.980965
0.969865,0.983766
0.985675,0.992728
0.992251,0.994995
0.913973,0.947355
0.977817,0.985591
0.975338,0.986865
0.993545,0.997028
0.997198,0.998453
0.966478,0.981065
0.993719,0.996728
0.973639,0.990856
0.957000,0.971035
0.971505,0.984306
0.967804,0.982487
0.921028,0.934315
0.955050,0.965512
0.910695,0.951392
0.994110,0.997190
0.970958,0.992688
0.929072,0.962508
0.956968,0.976092
0.952919,0.973047
0.948336,0.971842
0.974663,0.986344
0.969349,0.982858
0.950285,0.973260
0.964672,0.977259
0.982563,0.989872
0.975324,0.987290
0.974076,0.985997
0.966455,0.982474
0.964976,0.980165
0.930389,0.958930
0.966309,0.981962
0.962958,0.979213
0.968196,0.982954
0.933879,0.962834
0.974317,0.985975
0.952330,0.973058
0.945339,0.973077
0.920213,0.953378
0.964191,0.979322
0.905068,0.941650
0.928159,0.961267
0.933600,0.957691
0.946351,0.969943
0.919806,0.956421
0.962838,0.978618
0.931529,0.959708
0.968030,0.982824
0.908074,0.937833
0.947457,0.964787
0.917986,0.945967
0.971991,0.987303
0.954283,0.980839
0.919140,0.952879
0.904855,0.950838
0.922486,0.959863
0.926483,0.958971
0.949726,0.974002
0.945935,0.971755
0.921450,0.955177
0.956345,0.976669
0.936230,0.967315
0.924370,0.957067
0.872404,0.918109
0.948464,0.970678
0.936264,0.954814
0.946662,0.969825
0.950619,0.970150
0.927477,0.958899
0.893907,0.936466
0.921361,0.969282
0.961267,0.979444
0.970463,0.983275
0.969556,0.983168
0.957519,0.976552
0.878796,0.926933
0.935196,0.962406
0.966925,0.982699
0.915777,0.951197
0.895732,0.923758
0.941058,0.966499
0.949969,0.974348
0.957005,0.971624
0.971490,0.984121
0.934014,0.963719
0.949320,0.970735
